id,title,author,nicknames,suite,performances,copy_id,core_gd,cover_gd,cover_jg,core_jrad,aka,debut_gd,notes,abbrev
776,"Memphis, Tennessee",Chuck Berry (Johnny Rivers),,,,776,,,,,,,"https://en.wikipedia.org/wiki/Memphis,_Tennessee_(song)",
616,Tell Mama,"Clarence Carter, Marcus Daniel, Wilbur Terrell (Etta James)",,,,616,,TRUE,,,,1982,,
342,What's Going On,Cleveland – Benson – Gaye (Marvin Gaye),,,,342,,TRUE,,,,1988,,
83,God Put a Smile upon Your Face,Coldplay,,,2041,83,,,,,,,,
425,Down Under,Colin Hay & Ron Strykert (Men At Work),,,,425,,,,,,,,
111,Iko Iko,Crawford – Hawkins – Hawkins – Johnson,Iko,,213:361:1729:2571:2751:3524:3724:4456:4925,111,TRUE,TRUE,,,Aiko Aiko,1977,,
695,Green Onions,Cropper – Jackson – Jones – Steinberg (Booker T & the MGs),,,,695,,TRUE,,,,1988,,
788,Girls & Boys,"Damon Albarn, Graham Coxon, Alex James, Dave Rowntree (Blur)",,,,788,,,,,Girls and Boys,1994,https://en.wikipedia.org/wiki/Girls_&_Boys_(Blur_song),
222,Tequila,Daniel Flores (The Champs),,,,222,,,,,,,,
785,Long Black Veil,Danny Dill & Marijohn Wilkin (Lefty Frizzell; Johnny Cash),,,4517,785,,,TRUE,,,,https://en.wikipedia.org/wiki/Long_Black_Veil,
438,The Simpsons theme,Danny Elfman,,,,438,,,,,,,,
552,Seasons of My Heart,Darrell Edwards (George Jones),Seasons,,,552,,TRUE,,,,1970,,
711,Everytime You Go Away,Daryl Hall (Hall & Oates),,,,711,,TRUE,,,Every Time You Go Away,1988,,
621,Sick and Tired,Dave Bartholomew & Chris Kenner,,,,621,,TRUE,,,,1966,,
72,Fame,David Bowie,,,,72,,,,,,,,
82,Girlfriend Is Better,David Byrne (Talking Heads),,,,82,,,,,,,,
415,Comfortably Numb,David Gilmour & Roger Waters (Pink Floyd),,,3885,415,,,,,,,,
463,Run Like Hell,David Gilmour & Roger Waters (Pink Floyd),,,,463,,,,,,,,
430,Come Sail Away,Dennis DeYoung (Styx),,,,430,,,,,,,,
557,Silver Threads and Golden Needles,Dick Reynolds & Jack Rhodes,,,,557,,TRUE,,,,1966,,
188,Romeo and Juliet,Dire Straits,,,639:3966:4218:5096:5431,188,,,,,,,,
325,A Night in Tunisia,Dizzy Gillespie,,,,325,,,,,,,,
2,9 to 5,Dolly Parton,,,,2,,,,,Nine to Five,,,
619,So Sad (To Watch Good Love Go Bad),Don Everly (Everly Brothers),So Sad,,,619,,TRUE,,,,1970,,
728,Cathy's Clown,Don Everly & Phil Everly (Everly Brothers),,,,728,,TRUE,,,,1969?,,
741,Big Boy Pete,Don Harris & Dewey Terry,,,,741,,TRUE,,,,1966,,
370,Boys of Summer,Don Henley,,,,370,,,,,,,,
182,The Race Is On,Don Rollins (George Jones),,,1351:3162:4123:4396:5334,182,,TRUE,,,,1969,,
490,From the Heart of Me,Donna Godchaux (Grateful Dead),,,,490,TRUE,,,,,1978,,
567,Sunrise,Donna Godchaux (Grateful Dead),,,,567,TRUE,,,,,1978,,
237,There Is a Mountain,Donovan,,,2130:2238,237,,,,,,,,
141,Magnificent Sanctuary Band,Dorsey Burnette,,,49:362:946:1072:1400:2489:2632:2893:3060:3895:4751:5237,141,,TRUE,,,,1976,,MSB
399,La Di Da Di,Doug E. Fresh & Slick Rick,,,,399,,,,,Ladi Dadi,,,
448,Poison,Dr Freeze (Bell Biv DeVoe),,,,448,,,,,,,,
